m1 m2 m3 x1 v1 v2 T stability
0.809 0.753 1.000 -1.38821434602979e-01 2.46571069299139e+00 3.28012261285616e-01 5.24010129100899e+00 S
0.809 0.754 1.000 -1.39155375817274e-01 2.46232975668533e+00 3.28698380613658e-01 5.25086132348001e+00 S
0.810 0.749 1.000 -1.37950501468804e-01 2.47344417858894e+00 3.26319850081942e-01 5.20463585045298e+00 S
0.810 0.750 1.000 -1.38311200736732e-01 2.46978194873461e+00 3.27208272107006e-01 5.21751884475499e+00 S
0.810 0.751 1.000 -1.38662594103738e-01 2.46622010742874e+00 3.28023244194706e-01 5.22963983520988e+00 S
0.810 0.752 1.000 -1.39006187081568e-01 2.46274358831988e+00 3.28775799112471e-01 5.24111266199304e+00 S
0.810 0.753 1.000 -1.39343129928240e-01 2.45934086214737e+00 3.29474421116317e-01 5.25202482990996e+00 S
0.810 0.754 1.000 -1.39674324050754e-01 2.45600287936119e+00 3.30125803641203e-01 5.26244534399346e+00 S
0.811 0.748 1.000 -1.38120859196222e-01 2.47060332814735e+00 3.27027333825173e-01 5.20497153472038e+00 S
0.811 0.749 1.000 -1.38485627985588e-01 2.46690939931936e+00 3.27936208550859e-01 5.21809055593869e+00 S
0.811 0.750 1.000 -1.38840655155050e-01 2.46331992109461e+00 3.28768441427320e-01 5.23041400856370e+00 S
0.811 0.751 1.000 -1.39187555132822e-01 2.45981879865453e+00 3.29535836573519e-01 5.24206380123237e+00 S
0.811 0.752 1.000 -1.39527553022515e-01 2.45639379940006e+00 3.30247409383905e-01 5.25313299981918e+00 S
0.811 0.753 1.000 -1.39861603602001e-01 2.45303537465677e+00 3.30910232795561e-01 5.26369458649837e+00 S
0.812 0.748 1.000 -1.38656478669297e-01 2.46408064699148e+00 3.28659140070290e-01 5.21858564268393e+00 S
0.812 0.749 1.000 -1.39015238233238e-01 2.46046263932959e+00 3.29509400345300e-01 5.23111983777165e+00 S
0.812 0.750 1.000 -1.39365519534904e-01 2.45693624167417e+00 3.30292231615481e-01 5.24295306701480e+00 S
0.812 0.751 1.000 -1.39708629682419e-01 2.45348845204617e+00 3.31017230553371e-01 5.25418448584653e+00 S
0.812 0.752 1.000 -1.40045581458019e-01 2.45010918014229e+00 3.31691882083493e-01 5.26489139653187e+00 S
0.812 0.753 1.000 -1.40377177692763e-01 2.44679041433195e+00 3.32322160023043e-01 5.27513546889242e+00 S
0.813 0.747 1.000 -1.38823718373614e-01 2.46129574900941e+00 3.29376816473781e-01 5.21900129880186e+00 S
0.813 0.748 1.000 -1.39186317166466e-01 2.45764824560676e+00 3.30245928816025e-01 5.23175513981612e+00 S
0.813 0.749 1.000 -1.39540059851534e-01 2.45409584963079e+00 3.31044832728334e-01 5.24377871415784e+00 S
0.813 0.750 1.000 -1.39886343611932e-01 2.45062471536481e+00 3.31783762635787e-01 5.25517786233756e+00 S
0.813 0.751 1.000 -1.40226244401646e-01 2.44722416353267e+00 3.32470651647273e-01 5.26603458901227e+00 S
0.813 0.752 1.000 -1.40560610853212e-01 2.44388575746951e+00 3.33111799177502e-01 5.27641398336938e+00 S
0.814 0.746 1.000 -1.38987309866699e-01 2.45855479118037e+00 3.30088967000602e-01 5.21933449521489e+00 S
0.814 0.747 1.000 -1.39353863878850e-01 2.45487674389781e+00 3.30977820459929e-01 5.23231757654270e+00 S
0.814 0.748 1.000 -1.39711154313241e-01 2.45129757029763e+00 3.31793478107781e-01 5.24453888486474e+00 S
0.814 0.749 1.000 -1.40060677556626e-01 2.44780249692335e+00 3.32546875944882e-01 5.25611161907113e+00 S
0.814 0.750 1.000 -1.40403578513474e-01 2.44438020264560e+00 3.33246435708443e-01 5.26712291355578e+00 S
0.814 0.751 1.000 -1.40740755440313e-01 2.44102179097359e+00 3.33898809192257e-01 5.27764156030029e+00 S
0.814 0.752 1.000 -1.41072927770925e-01 2.43772012473582e+00 3.34509360930828e-01 5.28772301545321e+00 S
0.815 0.746 1.000 -1.39517848182361e-01 2.45214816040283e+00 3.31704853199075e-01 5.23280463890587e+00 S
0.815 0.747 1.000 -1.39878779683822e-01 2.44854136804559e+00 3.32537994716767e-01 5.24523159848328e+00 S
0.815 0.748 1.000 -1.40231613214379e-01 2.44502171726918e+00 3.33306432462807e-01 5.25698415430020e+00 S
0.815 0.749 1.000 -1.40577569110187e-01 2.44157718585497e+00 3.34019122123462e-01 5.26815504957340e+00 S
0.815 0.750 1.000 -1.40917599497085e-01 2.43819837889274e+00 3.34683097589534e-01 5.27881709372295e+00 S
0.815 0.751 1.000 -1.41252463453922e-01 2.43487779405564e+00 3.35304005159843e-01 5.28902870813954e+00 S
0.816 0.745 1.000 -1.39678237539460e-01 2.44946254553469e+00 3.32426787605494e-01 5.23321362904921e+00 S
0.816 0.746 1.000 -1.40042911109751e-01 2.44582722506718e+00 3.33278197230584e-01 5.24585473999948e+00 S
0.816 0.747 1.000 -1.40399131135581e-01 2.44228231071221e+00 3.34062285134438e-01 5.25779376701242e+00 S
0.816 0.748 1.000 -1.40748200676133e-01 2.43881501260297e+00 3.34788591893369e-01 5.26912960086324e+00 S
0.816 0.749 1.000 -1.41091130453448e-01 2.43541539448982e+00 3.35464566555500e-01 5.27993941859957e+00 S
0.816 0.750 1.000 -1.41428722379853e-01 2.43207556008855e+00 3.36096159508719e-01 5.29028484369642e+00 S
0.817 0.745 1.000 -1.40203521949909e-01 2.44315514277069e+00 3.34013886847588e-01 5.24640604707158e+00 S
0.817 0.746 1.000 -1.40563210611382e-01 2.43958422621055e+00 3.34814277080174e-01 5.25853864830103e+00 S
0.817 0.747 1.000 -1.40915456787244e-01 2.43609359397806e+00 3.35554718621670e-01 5.27004508963483e+00 S
0.817 0.748 1.000 -1.41261335072932e-01 2.43267272062494e+00 3.36243112554411e-01 5.28100730653926e+00 S
0.817 0.749 1.000 -1.41601693742031e-01 2.42931328407932e+00 3.36885738035036e-01 5.29149038651799e+00 S
0.817 0.750 1.000 -1.41937215671757e-01 2.42600857381914e+00 3.37487685184053e-01 5.30154706994910e+00 S
0.818 0.744 1.000 -1.40360583582456e-01 2.44052514337165e+00 3.34744849943877e-01 5.24688309536942e+00 S
0.818 0.745 1.000 -1.40723829548235e-01 2.43692742837397e+00 3.35562240715402e-01 5.25921687171743e+00 S
0.818 0.746 1.000 -1.41079320026323e-01 2.43341285336728e+00 3.36317367913437e-01 5.27089994988901e+00 S
0.818 0.747 1.000 -1.41428199393682e-01 2.42997025018754e+00 3.37018625904268e-01 5.28201946109624e+00 S
0.818 0.748 1.000 -1.41771366197659e-01 2.42659083571509e+00 3.37672649960667e-01 5.29264424726236e+00 S
0.818 0.749 1.000 -1.42109540585299e-01 2.42326755910794e+00 3.38284794734057e-01 5.30282984016990e+00 S
0.819 0.743 1.000 -1.40514065185096e-01 2.43793727171398e+00 3.35470856546296e-01 5.24728328194187e+00 S
0.819 0.744 1.000 -1.40880964326723e-01 2.43431189860245e+00 3.36305996762887e-01 5.25982638245567e+00 S
0.819 0.745 1.000 -1.41239771888513e-01 2.43077272719261e+00 3.37076396707857e-01 5.27169252006805e+00 S
0.819 0.746 1.000 -1.41591708663069e-01 2.42730788658338e+00 3.37790990309214e-01 5.28297451259161e+00 S
0.819 0.747 1.000 -1.41937727821421e-01 2.42390809345111e+00 3.38456799334234e-01 5.29374527909169e+00 S
0.819 0.748 1.000 -1.42278589742170e-01 2.42056593010382e+00 3.39079463672925e-01 5.30406336308344e+00 S
0.819 0.749 1.000 -1.42614911960018e-01 2.41727536226375e+00 3.39663596138967e-01 5.31397662713606e+00 S
0.820 0.743 1.000 -1.41034589642238e-01 2.43173763638025e+00 3.37045353141526e-01 5.26036498518896e+00 S
0.820 0.744 1.000 -1.41396792675610e-01 2.42817316574280e+00 3.37831652534914e-01 5.27242103487481e+00 S




